Date,FC_ID,IsMetro,StockStart,Demand,DemandFulfilled,Backorders,StockEnd,ReorderPoint,OrderPlaced,OrderQty,LeadTimeFloat,SafetyStock
2021-01-01,FC_01,False,610,8,8,0,602,523,0,0,7.18,92
2021-01-01,FC_02,True,1770,120,120,0,1650,1023,0,0,4.23,516
2021-01-01,FC_03,False,454,30,30,0,424,342,0,0,3.39,138
2021-01-01,FC_04,False,224,90,90,0,134,168,1,202,2.21,36
2021-01-01,FC_05,True,518,135,135,0,383,402,1,421,1.34,241
2021-01-01,FC_06,True,262,105,105,0,157,244,1,331,0.3,208
2021-01-01,FC_07,True,618,165,165,0,453,468,1,483,2.12,214
2021-01-01,FC_08,False,1332,38,38,0,1294,648,0,0,9.64,70
2021-01-01,FC_09,False,501,30,30,0,471,350,0,0,4.95,53
2021-01-01,FC_10,True,693,135,135,0,558,760,1,962,4.44,227
2021-01-01,FC_11,False,310,45,45,0,265,198,0,0,1.42,113
2021-01-01,FC_12,True,1307,180,180,0,1127,927,0,0,6.17,187
2021-01-01,FC_13,False,149,82,82,0,67,136,1,205,1.18,65
2021-01-01,FC_14,True,591,45,45,0,546,427,0,0,1.54,243
2021-01-01,FC_15,False,524,60,60,0,464,313,0,0,2.81,144
2021-01-01,FC_16,True,1216,165,165,0,1051,864,0,0,6.19,121
2021-01-01,FC_17,True,1260,105,105,0,1155,871,0,0,4.26,359
2021-01-01,FC_18,False,719,60,60,0,659,377,0,0,3.57,163
2021-01-01,FC_19,False,837,68,68,0,769,467,0,0,4.73,183
2021-01-01,FC_20,True,1767,165,165,0,1602,897,0,0,5.84,196
2021-01-02,FC_01,False,602,52,52,0,550,523,0,0,7.18,92
2021-01-02,FC_02,True,1650,135,135,0,1515,1023,0,0,4.23,516
2021-01-02,FC_03,False,424,38,38,0,386,342,0,0,3.39,138
2021-01-02,FC_04,False,134,82,82,0,52,168,1,284,2.21,36
2021-01-02,FC_05,True,383,30,30,0,353,402,1,451,1.34,241
2021-01-02,FC_06,True,488,150,150,0,338,244,0,0,0.3,208
2021-01-02,FC_07,True,453,180,180,0,273,468,1,663,2.12,214
2021-01-02,FC_08,False,1294,22,22,0,1272,648,0,0,9.64,70
2021-01-02,FC_09,False,471,60,60,0,411,350,0,0,4.95,53
2021-01-02,FC_10,True,558,165,165,0,393,760,1,1127,4.44,227
2021-01-02,FC_11,False,265,52,52,0,213,198,0,0,1.42,113
2021-01-02,FC_12,True,1127,240,240,0,887,927,1,967,6.17,187
2021-01-02,FC_13,False,67,30,30,0,37,136,1,235,1.18,65
2021-01-02,FC_14,True,546,225,225,0,321,427,1,533,1.54,243
2021-01-02,FC_15,False,464,112,112,0,352,313,0,0,2.81,144
2021-01-02,FC_16,True,1051,135,135,0,916,864,0,0,6.19,121
2021-01-02,FC_17,True,1155,165,165,0,990,871,0,0,4.26,359
2021-01-02,FC_18,False,659,52,52,0,607,377,0,0,3.57,163
2021-01-02,FC_19,False,769,82,82,0,687,467,0,0,4.73,183
2021-01-02,FC_20,True,1602,90,90,0,1512,897,0,0,5.84,196
2021-01-03,FC_01,False,550,60,60,0,490,523,1,556,7.18,92
2021-01-03,FC_02,True,1515,30,30,0,1485,1023,0,0,4.23,516
2021-01-03,FC_03,False,386,75,75,0,311,342,1,373,3.39,138
